title,info
"
王様ランキング
","国の豊かさ、抱えている強者どもの数、そして王様自身がいかに勇者のごとく強いか、それらを総合的にランキングしたもの、それが〝王様ランキング〟である。

主人公のボッジは、王様ランキング７位のボ..."
"
アイの歌声を聴かせて
","景部高等学校に転入してきた謎の美少女、シオンは抜群の運動神経と天真爛漫な性格で学校の人気者になるが…実は試験中の【AI】だった！
シオンはクラスでいつもひとりぼっちのサトミの前で突然歌い出し..."
"
ブルーピリオド
","成績優秀で世渡り上手な高校2年生・矢口八虎は、
悪友たちと遊びながら、毎日を過ごしていた。
誰もが思う“リア充”……
そんな八虎は、いつも、どこかで虚しかった。
ある日、美術室で出会った１枚..."
"
吸血鬼すぐ死ぬ
","行方不明となった子どもを助けるため、吸血鬼退治人ロナルドはドラルク城へ向かう。そこに住むのは、
真祖にして無敵と恐れられる高等吸血鬼ドラルク。しかしその実態はドアに挟まれただけで塵と化す史上..."
"
鬼滅の刃 遊郭編
","無限列車での任務を終えた炭治郎たちの次なる任務を描く遊郭編。
鬼殺隊最高位の剣士《柱》の一人、音柱の宇髄天元とともに炭治郎たちが向かうのは、鬼の棲む遊郭。
新たな戦いが幕を開ける。"
"
ジョジョの奇妙な冒険 ストーンオーシャン
",恋人とのドライブ中に起きた不慮の事故により、窃盗とひき逃げの罪で起訴された空条徐倫。無実を訴えたものの、恋人と弁護士に裏切られ「州立グリーン・ドルフィン・ストリート重警備刑務所」に収容される...
"
見える子ちゃん
","なんの変哲もない女子高生・四谷みこの日常。
通学し、授業を受け、帰宅し、弟と怖いテレビ番組を観たり。
そんなみこに、ひたひたと忍び寄る影。それはなんの前触れもなく、
突如みこの視界に入り込ん..."
"
先輩がうざい後輩の話
","糸巻商事入社2年目、早く一人前になりたい五十嵐双葉。
ちょっとガサツだけど面倒見のいい先輩・武田晴海。
双葉は武田先輩をうざいと思いながらも、
本当はまんざらでもない様子だったり、
でもやっ..."
"
古見さんは、コミュ症です。
",私立伊旦高校1年生の古見硝子は容姿端麗だが、人と話すことを極度に苦手としている。入学して間もないある日、同級生の只野仁人は彼女の秘密を知ってしまうが、筆談をかわすうちに彼女の「友達を100人...
"
鬼滅の刃 無限列車編(テレビ放送版)
","炎柱・煉獄杏寿郎に、新たな指令が下された。
それは、四十人以上もの行方不明者が出たという「無限列車」——その現地へ赴き、調査を行うというもの。
鬼殺隊本部を後にし、無限列車の任務へと旅立つ煉..."
"
海賊王女
","わずかな月明りが覗く夜、その海上で赤く燃え盛った船……
幼きフェナは雪丸に助けられ、一人孤独な海へと流されていった。
そこから10年。
「シャングリラ」へ漂流したフェナはホワイトマージナル
..."
"
境界戦機
","西暦2061年、日本は支配された。
４つの世界主要経済圏によって分割統治されるに至り、日本人は隷属国の人間として虐げられる日々を送っていた。
日本は各経済圏が投入した人型特殊機動兵器AMAI..."
"
異世界食堂2
","「いらっしゃいませ！　ようこそ、洋食のねこやへ!!」
アレッタとクロが働いている「洋食のねこや」は猫の絵が描かれた看板が目印。
一見、日本のどこにでもある普通の食堂だが、7日に一度“特別営業..."
"
シキザクラ
","高校生の『三輪 翔（ミワ カケル）』は、
異界から現れ人を喰らう『オニ』と、パワードスーツとの争いに巻き込まれる。

人に取り憑き、現世に顕（あらわ）れようとするオニ。
人々をオニから守るこ..."
"
メガトン級ムサシ
",赤城町に住む高校生の大和は、ケンカ騒動を起こして留置場の中にいた。そこに同級生の輝が現れ、留置場から出す代わりに請け負ってほしい案件があると伝える。ケンカ相手の龍吾と指定の場所に向かうが、輝...
"
サクガン
",極彩色のネオンとスモッグに覆われたアジア風のコロニー「ピンイン」。この街でワーカーとして暮らすメメンプーは、コロニーの外を旅するマーカーになりたいという夢を持っていた。年に一度の祭の夜、昔馴...
"
最果てのパラディン
","かつて滅びた死者の街――
人里離れたこの地に一人の生きた子供、ウィルがいた。
少年を育てるのは三人の不死者。
豪快な骸骨の剣士のブラッド。淑やかな神官ミイラのマリー。偏屈な魔法使いの幽霊のガ..."
"
半妖の夜叉姫 弐の章
",麒麟丸との戦いで、せつなが命を落とした。深く悔いるとわの前に現れた殺生丸は「せつなを生かすも殺すも、お前次第だ」と折れた天生牙を手渡す。とわは菊十文字のように妖気の刀身を作り出そうとするが、...
"
takt op.Destiny
",Ｄ２との停戦を告げた『ザーガン宣言』から４年。未だ世間では『音楽』はタブー視されており、旋律は途絶えたままであった。荒廃したアメリカで、音楽を知らずに育った少年は、ある日ピアノの旋律を耳にす...
"
月とライカと吸血姫
","1960年、世界を二分する両大国の宇宙開発戦争が激化するなか、宇宙飛行士を目指す青年レフ・レプスは、ある日、極秘の任務を命じられる。
それは人類初の有人飛行を前に、実験体として吸血鬼を宇宙に..."
